Actor,Claim,ProAnti,BestGuess,DateTime,Day,City/Town,StateTerritory
Texas Impacts,Oppose Texas's anti-transgender bathroom bill,1.0,225.0,2017-08-01,181,Austin,TX
First Baptist Church of Austin; Friends Church in College Station; Bering Memorial Methodist Church; Friends Congregational Church; United Church of Christ in College Station ,Oppose Texas's anti-transgender bathroom bill,1.0,320.0,2017-08-01,181,Austin,TX
U.S. Pastor Council,Support Texas's anti-transgender bathroom bill,2.0,200.0,2017-08-03,183,Austin,TX
organizer Chase Doremus,Oppose Trump's transgender military ban,1.0,130.0,2017-08-27,207,Portland,OR
Students,Rally for transgender rights,0,70.0,2017-09-18,229,Louisa,KY
"Parents, students",Rally for 9-year-old girl bullied for being LGBT,0,150.0,2017-09-26,237,Olathe,KS
Adirondack North County Gender Alliance,Rally for LGBT pride,0,200.0,2017-09-30,241,Plattsburgh,NY
general protesters,LGBT rights; abortion rights; immigrant rights,1.0,65.0,2017-02-09,8,Waco,TX
general protesters,LGBTQ rights,1.0,200.0,2017-02-11,10,Los Angeles,CA
NC NAACP,"Voting Rights, against immigration executive order, against North Carolina restrictions on transgender rights, against ACA repeal",1.0,48500.0,2017-02-11,10,Raleigh,NC
General Protest,Transgender rights,1.0,100.0,2017-02-22,21,Pittsburgh,PA
General Protest,LGBTQ Rights,1.0,1350.0,2017-02-23,22,New York,NY
general protestors,pro-transgender rights,1.0,200.0,2017-02-25,24,Chicago,IL
General Protest,pro-transgender rights,1.0,200.0,2017-02-25,24,St. Louis,MO
General Protest,pro-transgender rights; against Ballot Initiative 1552,1.0,100.0,2017-02-25,24,Tacoma,WA
several local organizations,LGBTQ Rights,1.0,100.0,2017-02-26,25,Buffalo,NY
general protestors,pro-LGBTQ rights,1.0,1500.0,2017-02-26,25,St. Louis,MO
Jersey City LGBT Pride; Garden State Equality,pro-transgender rights,1.0,200.0,2017-02-26,25,Jersey City,NJ
general protestors,pro-Transgender rights,1,150.0,2017-03-01,28,Portland,ME
general protestors,support LGBTQ,1,1000.0,2017-03-03,30,Chicago,IL
general protestors,pro-Transgender rights,1,62.0,2017-03-05,32,Iowa City,IA
Students; general protestors,Support transgender community,1,100.0,2017-03-05,32,Laramie,WY
general protesters,against bill that would require transgender people to use public bathrooms that correspond with the sex on their birth certificate.,1,200.0,2017-03-07,34,Austin,TX
general protesters,"pro-Transgender rights; against Senate Bill 6, the “bathroom bill""",1,50.0,2017-03-09,36,College Station,TX
Oklahomans for Equality,LGBTQ protections,1,225.0,2017-03-10,37,Tulsa,OK
general protestors,pro-Transgender rights,1,200.0,2017-03-12,39,Des Moines,IA
general protesters,pro-Transgender rights,1,200.0,2017-03-12,39,Lincoln,NE
general protestors,transgender rights,1,300.0,2017-03-18,45,Appleton,WI
students,"support arrested student, Native American students, and the lesbian, gay, bisexual and transgender community",1,50.0,2017-03-21,48,Durango,CO
general protestors,against bathroom bill; pro-Transgender rights,0.0,200.0,2017-07-17,166,Austin,TX
"Black, Queer & Intersectional Columbus",Protesting lack of response to violence against LGBT people of color,0.0,200.0,2017-07-17,166,Columbus,OH
Equality NY,Oppose Trump's transgender military ban,1.0,500.0,2017-07-26,175,New York City,NY
organizer Sharon Queen,Support Our Troops Rally to oppose Trump transgender ban,1.0,100.0,2017-07-26,175,Tulsa,OK
general protestors ,Oppose military transgender ban,1.0,75.0,2017-07-26,175,Washington,DC
organizer Vincent Corrales ,Oppose Trump's transgender military ban,1.0,75.0,2017-07-27,176,Palm Springs,CA
Garden State Equality,Oppose Trump's transgender military ban,1.0,200.0,2017-07-29,178,Asbury Park,NJ
organizer Ray Dominguez,Resist and Support rally to oppose Trump's transgender military ban,1.0,50.0,2017-07-29,178,El Paso,TX
TG Detroit,Oppose Trump's transgender military ban,1.0,200.0,2017-07-30,179,Royal Oak,MI
organizer Syd Hajiecek,Oppose Trump's transgender military ban,1.0,100.0,2017-07-30,179,St. Louis,MO
counter protesters,Support remembrance event for LGBT attack,0.0,50.0,2017-06-12,131,Orlando,FL
Planned Parenthood; NARAL Pro-Choice Missouri; SEIU; ACLU,Oppose new state restrictions on abortion; demand Medicaid expansion and LGBT anti-discrimination laws,0.0,175.0,2017-06-14,133,Jefferson City,MO
general protestors,Counter-protest; Protesting against the refusal of service to gay couple by baker,1.0,200.0,2017-12-05,307,Washington ,DC
general protestors,Protesting anchor who compared pedophile to gay man,0.0,200.0,2017-12-12,314,Oklahoma City,OK
general protestors,LGBTQ Pride March,1,2000.0,2017-10-15,256,Atlanta,GA
general protestors,"Protesting homophobic flyers, demanding accountability",0,50.0,2017-10-31,272,Lawrence,MA
"Parents, students",Protesting administration for not protecting gay boy from bullying,0,200.0,2017-10-23,264,York,ME
high school students,Rally in support of gay high school student ,0,100.0,2017-10-25,266,York ,ME
general protestors,Rallying behind baker who refused to make wedding cake for gay couple,2.0,200.0,2017-11-08,280,Lakewood,CO
general protestors,Protesting anti-LGBT vandalization ,0.0,175.0,2017-11-26,298,Geneva ,IL 
Students,"Counter-protest, defending LGBT",1.0,300.0,2017-11-30,302,Kutztown,PA
general protestors,pro-LGBTQ; denounce anti-LGBTQ letter in school paper,0.0,50.0,2017-05-11,99,San Luis Obispo,CA
Memphis LGBT community,against anti-gay purge in Chechnya,0.0,75.0,2017-05-27,115,Memphis,TN
LGBTQ activists,Protesting Taylor's LGBTQ stance,0.0,80.0,2017-05-27,115,San Antonio,TX
